"date","totalCases","activeCases","recovered"
"2022-01-01","3489","119","3370"
"2022-01-02","3494","103","3391"
"2022-01-03","3495","89","3406"
"2022-01-04","3500","86","3414"
"2022-01-05","3520","99","3421"
"2022-01-06","3539","118","3421"
"2022-01-07","3556","133","3423"
"2022-01-08","3562","127","3435"
"2022-01-09","3569","107","3462"
"2022-01-10","3583","109","3474"
"2022-01-11","3599","110","3489"
"2022-01-12","3638","138","3500"
"2022-01-13","3660","161","3499"
"2022-01-14","3683","181","3502"
"2022-01-15","3704","188","3516"
"2022-01-16","3725","186","3539"
"2022-01-17","3737","179","3558"
"2022-01-18","3745","183","3562"
"2022-01-19","3770","186","3584"
"2022-01-20","3816","223","3593"
"2022-01-21","3848","248","3600"
"2022-01-22","3882","221","3661"
"2022-01-23","3940","279","3661"
"2022-01-24","3951","265","3686"
"2022-01-25","3974","267","3707"
"2022-01-26","4053","317","3736"
"2022-01-27","4152","409","3743"
"2022-01-28","4208","458","3750"
"2022-01-29","4278","492","3786"
"2022-01-30","4342","529","3813"
"2022-01-31","4366","510","3856"
"2022-02-01","4397","510","3887"
"2022-02-02","4447","501","3946"
"2022-02-03","4588","625","3963"
"2022-02-04","4669","692","3977"
"2022-02-05","4753","664","4089"
"2022-02-06","4789","612","4177"
"2022-02-07","4842","615","4227"
"2022-02-08","4871","589","4282"
"2022-02-09","4963","592","4371"
"2022-02-10","5075","678","4397"
"2022-02-11","5171","767","4404"
"2022-02-12","5255","739","4516"
"2022-02-13","5293","673","4620"
"2022-02-14","5343","645","4698"
"2022-02-15","5370","605","4765"
"2022-02-16","5440","593","4847"
"2022-02-17","5440","593","4847"
"2022-02-18","5603","719","4884"
"2022-02-19","5650","652","4998"
"2022-02-20","5723","603","5120"
"2022-02-21","5759","544","5215"
"2022-02-22","5771","504","5267"
"2022-02-23","5855","512","5343"
"2022-02-24","5937","568","5369"
"2022-02-25","5983","587","5396"
"2022-02-26","6042","568","5474"
"2022-02-27","6090","546","5544"
"2022-02-28","6130","526","5604"
"2022-03-01","6146","484","5662"
"2022-03-02","6242","504","5738"
"2022-03-03","6263","500","5763"
"2022-03-04","6333","551","5782"
"2022-03-05","6393","519","5874"
"2022-03-06","6460","508","5952"
"2022-03-07","6483","483","6000"
"2022-03-08","6505","458","6047"
"2022-03-09","6583","474","6109"
"2022-03-10","6683","544","6139"
"2022-03-11","6777","614","6163"
"2022-03-12","6866","654","6212"
"2022-03-13","6972","705","6267"
"2022-03-14","7006","680","6326"
"2022-03-15","7031","641","6390"
"2022-03-16","7139","683","6456"
"2022-03-17","7248","770","6478"
"2022-03-18","7360","845","6515"
"2022-03-19","7466","889","6577"
"2022-03-20","7562","889","6673"
"2022-03-21","7562","889","6673"
"2022-03-22","7636","772","6864"
"2022-03-23","7743","781","6962"
"2022-03-24","7857","853","7004"
"2022-03-25","7946","914","7032"
"2022-03-26","8041","917","7124"
"2022-03-29","8165","712","7453"
"2022-03-30","8285","742","7543"
"2022-03-31","8357","754","7603"
"2022-04-01","8446","816","7630"
"2022-04-02","8500","762","7738"
"2022-04-05","8603","577","8026"
"2022-04-06","8677","571","8106"
"2022-04-07","8728","587","8141"
"2022-04-08","8794","625","8169"
"2022-04-09","8850","569","8281"
"2022-04-12","8948","466","8482"
"2022-04-13","9007","459","8548"
"2022-04-14","9079","505","8574"
"2022-04-15","9134","547","8587"
"2022-04-20","9287","425","8862"
"2022-04-21","9348","444","8904"
"2022-04-22","9403","470","8933"
"2022-04-23","9464","465","8999"
"2022-04-26","9520","350","9170"
"2022-04-27","9552","355","9197"
"2022-04-28","9586","356","9230"
"2022-04-29","9616","357","9259"
"2022-04-30","9654","372","9282"
"2022-05-03","9706","260","9446"
"2022-05-04","9736","255","9481"
"2022-05-05","9773","267","9506"
"2022-05-10","9845","201","9644"
"2022-05-11","9866","192","9674"
"2022-05-12","9888","194","9694"
"2022-05-13","9901","207","9694"
"2022-05-17","9937","138","9799"
"2022-05-18","9953","135","9818"
"2022-05-19","9969","134","9835"
"2022-05-20","9976","136","9840"
"2022-05-24","10012","105","9907"
"2022-05-25","10022","109","9913"
"2022-05-31","10058","79","9979"
"2022-06-01","10072","86","9986"